I, [2024-11-02T14:50:33.139619 #66487]  INFO -- : Application started
I, [2024-11-02T16:44:32.570206 #75009]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 669 6762 Rosann Lane, Drewmouth, GA 21437-9189
I, [2024-11-02T16:44:32.570213 #75009]  INFO -- : Added item: Оренда: Ціна: 9900 грн, Адреса: Suite 669 6762 Rosann Lane, Drewmouth, GA 21437-9189, Площа: 113 м², Кімнат: 5, Зображення: images/molestiae.jpg
I, [2024-11-02T16:44:32.570535 #75009]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 634 502 Sauer Falls, Septembermouth, CT 55831
I, [2024-11-02T16:44:32.570543 #75009]  INFO -- : Added item: Оренда: Ціна: 18164 грн, Адреса: Suite 634 502 Sauer Falls, Septembermouth, CT 55831, Площа: 133 м², Кімнат: 5, Зображення: images/non.jpg
I, [2024-11-02T16:44:32.570549 #75009]  INFO -- : Generated 10 test items
I, [2024-11-02T16:44:32.570857 #75009]  INFO -- : Saved items to output/items.txt
I, [2024-11-02T16:44:32.571046 #75009]  INFO -- : Saved items to output/items.csv
I, [2024-11-02T16:44:32.571258 #75009]  INFO -- : Saved items to output/items.json
I, [2024-11-02T16:44:32.572676 #75009]  INFO -- : Saved items to output/items_yml as YAML files
I, [2024-11-02T16:44:32.573188 #75009]  INFO -- : Application started
I, [2024-11-02T16:44:32.573545 #75009]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 34200 Debbi Light, Goldnerhaven, AK 44597
I, [2024-11-02T16:44:32.573557 #75009]  INFO -- : Створено об'єкт RentalItem: Оренда: Ціна: 10150 грн, Адреса: 34200 Debbi Light, Goldnerhaven, AK 44597, Площа: 86 м², Кімнат: 1, Зображення: images/eligendi.jpg
I, [2024-11-02T16:44:32.573575 #75009]  INFO -- : Initialized Cart instance with output directory: output
I, [2024-11-02T16:44:32.573881 #75009]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 133 86311 Ledner Inlet, North Madelyn, KY 54903-2472
I, [2024-11-02T16:44:32.573952 #75009]  INFO -- : Added item: Оренда: Ціна: 13383 грн, Адреса: Apt. 133 86311 Ledner Inlet, North Madelyn, KY 54903-2472, Площа: 99 м², Кімнат: 1, Зображення: images/possimus.jpg
I, [2024-11-02T16:44:32.574319 #75009]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 697 2687 Whitney Drives, North Harold, CO 90672
I, [2024-11-02T16:44:32.574338 #75009]  INFO -- : Added item: Оренда: Ціна: 13888 грн, Адреса: Apt. 697 2687 Whitney Drives, North Harold, CO 90672, Площа: 184 м², Кімнат: 5, Зображення: images/explicabo.jpg
I, [2024-11-02T16:44:32.574750 #75009]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 323 461 Collins Shoal, Lake Willis, TX 07190-8375
I, [2024-11-02T16:44:32.574761 #75009]  INFO -- : Added item: Оренда: Ціна: 15795 грн, Адреса: Apt. 323 461 Collins Shoal, Lake Willis, TX 07190-8375, Площа: 31 м², Кімнат: 5, Зображення: images/provident.jpg
I, [2024-11-02T16:44:32.575095 #75009]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 279 15878 Leota Islands, Adamschester, ID 20735
I, [2024-11-02T16:44:32.575104 #75009]  INFO -- : Added item: Оренда: Ціна: 13367 грн, Адреса: Apt. 279 15878 Leota Islands, Adamschester, ID 20735, Площа: 75 м², Кімнат: 1, Зображення: images/pariatur.jpg
I, [2024-11-02T16:44:32.575366 #75009]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 6784 Hilary Walk, Marquittafort, MI 78836-8241
I, [2024-11-02T16:44:32.575379 #75009]  INFO -- : Added item: Оренда: Ціна: 10532 грн, Адреса: 6784 Hilary Walk, Marquittafort, MI 78836-8241, Площа: 121 м², Кімнат: 5, Зображення: images/ipsam.jpg
I, [2024-11-02T16:44:32.575993 #75009]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 139 61280 Daren Grove, Kenyettaland, MD 47409
I, [2024-11-02T16:44:32.576012 #75009]  INFO -- : Added item: Оренда: Ціна: 16781 грн, Адреса: Apt. 139 61280 Daren Grove, Kenyettaland, MD 47409, Площа: 159 м², Кімнат: 4, Зображення: images/doloribus.jpg
I, [2024-11-02T16:44:32.576422 #75009]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 780 6586 Josh Run, South Vashti, MI 68334-4570
I, [2024-11-02T16:44:32.576434 #75009]  INFO -- : Added item: Оренда: Ціна: 19635 грн, Адреса: Apt. 780 6586 Josh Run, South Vashti, MI 68334-4570, Площа: 117 м², Кімнат: 3, Зображення: images/eius.jpg
I, [2024-11-02T16:44:32.576829 #75009]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 755 382 Bobbie Greens, Port Shasta, LA 79044
I, [2024-11-02T16:44:32.576841 #75009]  INFO -- : Added item: Оренда: Ціна: 7692 грн, Адреса: Apt. 755 382 Bobbie Greens, Port Shasta, LA 79044, Площа: 74 м², Кімнат: 4, Зображення: images/ut.jpg
I, [2024-11-02T16:44:32.577079 #75009]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 28116 Reggie Curve, Murphyport, MS 59281
I, [2024-11-02T16:44:32.577094 #75009]  INFO -- : Added item: Оренда: Ціна: 15136 грн, Адреса: 28116 Reggie Curve, Murphyport, MS 59281, Площа: 86 м², Кімнат: 1, Зображення: images/laudantium.jpg
I, [2024-11-02T16:44:32.577382 #75009]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 13051 Bechtelar Pass, Aufderharfort, ID 15011-2876
I, [2024-11-02T16:44:32.577392 #75009]  INFO -- : Added item: Оренда: Ціна: 18151 грн, Адреса: 13051 Bechtelar Pass, Aufderharfort, ID 15011-2876, Площа: 110 м², Кімнат: 1, Зображення: images/voluptates.jpg
I, [2024-11-02T16:44:32.577398 #75009]  INFO -- : Generated 10 test items
I, [2024-11-02T16:44:32.577591 #75009]  INFO -- : Saved items to output/items.txt
I, [2024-11-02T16:44:32.577835 #75009]  INFO -- : Saved items to output/items.csv
I, [2024-11-02T16:44:32.577918 #75009]  INFO -- : Saved items to output/items.json
I, [2024-11-02T16:44:32.578847 #75009]  INFO -- : Saved items to output/items_yml as YAML files
I, [2024-11-02T16:45:20.197130 #75135]  INFO -- : Application started
I, [2024-11-02T16:45:20.752497 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 450 429 Ignacio Junction, Rempelshire, MS 26291
I, [2024-11-02T16:45:20.752545 #75135]  INFO -- : Створено об'єкт RentalItem: Оренда: Ціна: 19853 грн, Адреса: Apt. 450 429 Ignacio Junction, Rempelshire, MS 26291, Площа: 141 м², Кімнат: 4, Зображення: images/esse.jpg
I, [2024-11-02T16:45:20.752587 #75135]  INFO -- : Initialized Cart instance with output directory: output
I, [2024-11-02T16:45:20.752878 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 566 26116 Nikolaus Way, Lake Archie, MT 52802-2380
I, [2024-11-02T16:45:20.752906 #75135]  INFO -- : Added item: Оренда: Ціна: 15582 грн, Адреса: Apt. 566 26116 Nikolaus Way, Lake Archie, MT 52802-2380, Площа: 138 м², Кімнат: 3, Зображення: images/et.jpg
I, [2024-11-02T16:45:20.753208 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 655 9285 Russel Via, Lake Stuartborough, MA 88883
I, [2024-11-02T16:45:20.753221 #75135]  INFO -- : Added item: Оренда: Ціна: 18665 грн, Адреса: Suite 655 9285 Russel Via, Lake Stuartborough, MA 88883, Площа: 93 м², Кімнат: 4, Зображення: images/in.jpg
I, [2024-11-02T16:45:20.753453 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 8139 Cruickshank Inlet, West Shielatown, UT 92070
I, [2024-11-02T16:45:20.753618 #75135]  INFO -- : Added item: Оренда: Ціна: 13751 грн, Адреса: 8139 Cruickshank Inlet, West Shielatown, UT 92070, Площа: 142 м², Кімнат: 1, Зображення: images/consectetur.jpg
I, [2024-11-02T16:45:20.753889 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 27036 Kelvin Corners, West Venamouth, MA 17384
I, [2024-11-02T16:45:20.753900 #75135]  INFO -- : Added item: Оренда: Ціна: 7477 грн, Адреса: 27036 Kelvin Corners, West Venamouth, MA 17384, Площа: 161 м², Кімнат: 2, Зображення: images/doloribus.jpg
I, [2024-11-02T16:45:20.754173 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 721 10414 Hollie Crescent, Ellsworthmouth, KS 07268-7657
I, [2024-11-02T16:45:20.754184 #75135]  INFO -- : Added item: Оренда: Ціна: 13989 грн, Адреса: Suite 721 10414 Hollie Crescent, Ellsworthmouth, KS 07268-7657, Площа: 71 м², Кімнат: 4, Зображення: images/exercitationem.jpg
I, [2024-11-02T16:45:20.754400 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 88948 Littel Spur, East Ernesto, WI 36852-2880
I, [2024-11-02T16:45:20.754411 #75135]  INFO -- : Added item: Оренда: Ціна: 19059 грн, Адреса: 88948 Littel Spur, East Ernesto, WI 36852-2880, Площа: 131 м², Кімнат: 4, Зображення: images/vero.jpg
I, [2024-11-02T16:45:20.754752 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 3524 Daniel Light, Hyunburgh, MD 99803-7640
I, [2024-11-02T16:45:20.754762 #75135]  INFO -- : Added item: Оренда: Ціна: 14688 грн, Адреса: 3524 Daniel Light, Hyunburgh, MD 99803-7640, Площа: 161 м², Кімнат: 5, Зображення: images/recusandae.jpg
I, [2024-11-02T16:45:20.755060 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 642 3293 Annett Canyon, North Francineborough, HI 72073-5269
I, [2024-11-02T16:45:20.755079 #75135]  INFO -- : Added item: Оренда: Ціна: 5773 грн, Адреса: Apt. 642 3293 Annett Canyon, North Francineborough, HI 72073-5269, Площа: 65 м², Кімнат: 5, Зображення: images/et.jpg
I, [2024-11-02T16:45:20.755331 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 839 809 Classie Prairie, Shieldsborough, AK 63794-6831
I, [2024-11-02T16:45:20.755342 #75135]  INFO -- : Added item: Оренда: Ціна: 13927 грн, Адреса: Apt. 839 809 Classie Prairie, Shieldsborough, AK 63794-6831, Площа: 110 м², Кімнат: 4, Зображення: images/beatae.jpg
I, [2024-11-02T16:45:20.755693 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 11747 Dagmar Crossroad, Kelvinshire, KS 23236-6501
I, [2024-11-02T16:45:20.755702 #75135]  INFO -- : Added item: Оренда: Ціна: 15136 грн, Адреса: 11747 Dagmar Crossroad, Kelvinshire, KS 23236-6501, Площа: 195 м², Кімнат: 2, Зображення: images/blanditiis.jpg
I, [2024-11-02T16:45:20.755709 #75135]  INFO -- : Generated 10 test items
I, [2024-11-02T16:45:20.756288 #75135]  INFO -- : Saved items to output/items.txt
I, [2024-11-02T16:45:20.756577 #75135]  INFO -- : Saved items to output/items.csv
I, [2024-11-02T16:45:20.756674 #75135]  INFO -- : Saved items to output/items.json
I, [2024-11-02T16:45:20.759461 #75135]  INFO -- : Saved items to output/items_yml as YAML files
I, [2024-11-02T16:45:20.760068 #75135]  INFO -- : Application started
I, [2024-11-02T16:45:20.760336 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 99421 Kunde Shore, South Catarina, GA 03935
I, [2024-11-02T16:45:20.760346 #75135]  INFO -- : Створено об'єкт RentalItem: Оренда: Ціна: 15553 грн, Адреса: 99421 Kunde Shore, South Catarina, GA 03935, Площа: 74 м², Кімнат: 2, Зображення: images/asperiores.jpg
I, [2024-11-02T16:45:20.760370 #75135]  INFO -- : Initialized Cart instance with output directory: output
I, [2024-11-02T16:45:20.760602 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 211 Pagac Ridge, New Charaberg, NM 43186-1452
I, [2024-11-02T16:45:20.760610 #75135]  INFO -- : Added item: Оренда: Ціна: 8934 грн, Адреса: 211 Pagac Ridge, New Charaberg, NM 43186-1452, Площа: 154 м², Кімнат: 2, Зображення: images/fuga.jpg
I, [2024-11-02T16:45:20.760861 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 34583 Josefine Fort, West Janiece, SC 25405-8794
I, [2024-11-02T16:45:20.760875 #75135]  INFO -- : Added item: Оренда: Ціна: 13205 грн, Адреса: 34583 Josefine Fort, West Janiece, SC 25405-8794, Площа: 189 м², Кімнат: 4, Зображення: images/voluptas.jpg
I, [2024-11-02T16:45:20.761258 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 9956 Labadie Forges, East Florentino, TN 55206
I, [2024-11-02T16:45:20.761273 #75135]  INFO -- : Added item: Оренда: Ціна: 7436 грн, Адреса: 9956 Labadie Forges, East Florentino, TN 55206, Площа: 96 м², Кімнат: 4, Зображення: images/fuga.jpg
I, [2024-11-02T16:45:20.761519 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 50670 Bode Roads, New Opheliaview, PA 83636-8120
I, [2024-11-02T16:45:20.761528 #75135]  INFO -- : Added item: Оренда: Ціна: 14244 грн, Адреса: 50670 Bode Roads, New Opheliaview, PA 83636-8120, Площа: 37 м², Кімнат: 3, Зображення: images/iusto.jpg
I, [2024-11-02T16:45:20.762100 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 836 430 Monroe Hollow, East Leif, FL 44276-0592
I, [2024-11-02T16:45:20.762123 #75135]  INFO -- : Added item: Оренда: Ціна: 18784 грн, Адреса: Apt. 836 430 Monroe Hollow, East Leif, FL 44276-0592, Площа: 121 м², Кімнат: 4, Зображення: images/molestiae.jpg
I, [2024-11-02T16:45:20.762430 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 781 882 Tova Throughway, Port Leliaside, ME 77279
I, [2024-11-02T16:45:20.762438 #75135]  INFO -- : Added item: Оренда: Ціна: 7530 грн, Адреса: Apt. 781 882 Tova Throughway, Port Leliaside, ME 77279, Площа: 187 м², Кімнат: 3, Зображення: images/nihil.jpg
I, [2024-11-02T16:45:20.762683 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 5360 Adan Cape, Ralphland, LA 87774-3618
I, [2024-11-02T16:45:20.762690 #75135]  INFO -- : Added item: Оренда: Ціна: 18985 грн, Адреса: 5360 Adan Cape, Ralphland, LA 87774-3618, Площа: 170 м², Кімнат: 5, Зображення: images/praesentium.jpg
I, [2024-11-02T16:45:20.763061 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 615 363 Eli Garden, New Erlenemouth, NJ 62763
I, [2024-11-02T16:45:20.763068 #75135]  INFO -- : Added item: Оренда: Ціна: 8691 грн, Адреса: Suite 615 363 Eli Garden, New Erlenemouth, NJ 62763, Площа: 98 м², Кімнат: 5, Зображення: images/animi.jpg
I, [2024-11-02T16:45:20.763328 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 921 Rico Spurs, New Trenaview, CA 56745-1860
I, [2024-11-02T16:45:20.763336 #75135]  INFO -- : Added item: Оренда: Ціна: 12086 грн, Адреса: 921 Rico Spurs, New Trenaview, CA 56745-1860, Площа: 91 м², Кімнат: 1, Зображення: images/nisi.jpg
I, [2024-11-02T16:45:20.763709 #75135]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 5935 Harris Vista, Port Oda, NC 46361
I, [2024-11-02T16:45:20.763723 #75135]  INFO -- : Added item: Оренда: Ціна: 13095 грн, Адреса: 5935 Harris Vista, Port Oda, NC 46361, Площа: 36 м², Кімнат: 5, Зображення: images/officiis.jpg
I, [2024-11-02T16:45:20.763731 #75135]  INFO -- : Generated 10 test items
I, [2024-11-02T16:45:20.763897 #75135]  INFO -- : Saved items to output/items.txt
I, [2024-11-02T16:45:20.764043 #75135]  INFO -- : Saved items to output/items.csv
I, [2024-11-02T16:45:20.764125 #75135]  INFO -- : Saved items to output/items.json
I, [2024-11-02T16:45:20.765329 #75135]  INFO -- : Saved items to output/items_yml as YAML files
I, [2024-11-02T16:45:50.122526 #75228]  INFO -- : Application started
I, [2024-11-02T16:45:50.697947 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 251 Schamberger Fords, West Venitamouth, OK 39625
I, [2024-11-02T16:45:50.697990 #75228]  INFO -- : Створено об'єкт RentalItem: Оренда: Ціна: 12207 грн, Адреса: 251 Schamberger Fords, West Venitamouth, OK 39625, Площа: 187 м², Кімнат: 2, Зображення: images/numquam.jpg
I, [2024-11-02T16:45:50.698027 #75228]  INFO -- : Initialized Cart instance with output directory: output
I, [2024-11-02T16:45:50.698304 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 386 Caterina Turnpike, South Margarett, MS 20361-5379
I, [2024-11-02T16:45:50.698320 #75228]  INFO -- : Added item: Оренда: Ціна: 13370 грн, Адреса: 386 Caterina Turnpike, South Margarett, MS 20361-5379, Площа: 58 м², Кімнат: 1, Зображення: images/est.jpg
I, [2024-11-02T16:45:50.698550 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 318 Sporer Inlet, East Jonstad, AL 05928
I, [2024-11-02T16:45:50.698559 #75228]  INFO -- : Added item: Оренда: Ціна: 15818 грн, Адреса: 318 Sporer Inlet, East Jonstad, AL 05928, Площа: 173 м², Кімнат: 1, Зображення: images/maiores.jpg
I, [2024-11-02T16:45:50.698763 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 759 Arlie Turnpike, Veumville, KY 21354
I, [2024-11-02T16:45:50.698771 #75228]  INFO -- : Added item: Оренда: Ціна: 14570 грн, Адреса: 759 Arlie Turnpike, Veumville, KY 21354, Площа: 106 м², Кімнат: 5, Зображення: images/est.jpg
I, [2024-11-02T16:45:50.698941 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 92962 Treutel Avenue, Powlowskiburgh, WI 90592
I, [2024-11-02T16:45:50.698951 #75228]  INFO -- : Added item: Оренда: Ціна: 11162 грн, Адреса: 92962 Treutel Avenue, Powlowskiburgh, WI 90592, Площа: 169 м², Кімнат: 5, Зображення: images/ut.jpg
I, [2024-11-02T16:45:50.699217 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 27656 Lewis Ferry, East Quincystad, OR 24427-3176
I, [2024-11-02T16:45:50.699227 #75228]  INFO -- : Added item: Оренда: Ціна: 18235 грн, Адреса: 27656 Lewis Ferry, East Quincystad, OR 24427-3176, Площа: 94 м², Кімнат: 2, Зображення: images/dolorem.jpg
I, [2024-11-02T16:45:50.699453 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 618 651 Elden Meadow, Romagueraburgh, KY 56632
I, [2024-11-02T16:45:50.699463 #75228]  INFO -- : Added item: Оренда: Ціна: 13138 грн, Адреса: Apt. 618 651 Elden Meadow, Romagueraburgh, KY 56632, Площа: 133 м², Кімнат: 5, Зображення: images/laborum.jpg
I, [2024-11-02T16:45:50.699822 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 533 6294 Jast Cape, South Edgardofort, TN 71300-5301
I, [2024-11-02T16:45:50.699831 #75228]  INFO -- : Added item: Оренда: Ціна: 9173 грн, Адреса: Apt. 533 6294 Jast Cape, South Edgardofort, TN 71300-5301, Площа: 58 м², Кімнат: 1, Зображення: images/inventore.jpg
I, [2024-11-02T16:45:50.700033 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 2774 MacGyver Hills, Sydneyville, MN 29214-9648
I, [2024-11-02T16:45:50.700041 #75228]  INFO -- : Added item: Оренда: Ціна: 15864 грн, Адреса: 2774 MacGyver Hills, Sydneyville, MN 29214-9648, Площа: 177 м², Кімнат: 1, Зображення: images/magnam.jpg
I, [2024-11-02T16:45:50.700215 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 28671 Lebsack Lane, Boylemouth, UT 42286
I, [2024-11-02T16:45:50.700224 #75228]  INFO -- : Added item: Оренда: Ціна: 16211 грн, Адреса: 28671 Lebsack Lane, Boylemouth, UT 42286, Площа: 179 м², Кімнат: 2, Зображення: images/quo.jpg
I, [2024-11-02T16:45:50.700457 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 136 4307 Russel Green, Lake Noelview, SC 71450
I, [2024-11-02T16:45:50.700465 #75228]  INFO -- : Added item: Оренда: Ціна: 12783 грн, Адреса: Apt. 136 4307 Russel Green, Lake Noelview, SC 71450, Площа: 173 м², Кімнат: 2, Зображення: images/voluptatem.jpg
I, [2024-11-02T16:45:50.700472 #75228]  INFO -- : Generated 10 test items
I, [2024-11-02T16:45:50.700829 #75228]  INFO -- : Saved items to output/items.txt
I, [2024-11-02T16:45:50.701035 #75228]  INFO -- : Saved items to output/items.csv
I, [2024-11-02T16:45:50.701131 #75228]  INFO -- : Saved items to output/items.json
I, [2024-11-02T16:45:50.703040 #75228]  INFO -- : Saved items to output/items_yml as YAML files
I, [2024-11-02T16:45:50.703651 #75228]  INFO -- : Application started
I, [2024-11-02T16:45:50.703957 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 9670 Dodie Centers, Antonyport, MI 54252
I, [2024-11-02T16:45:50.703970 #75228]  INFO -- : Створено об'єкт RentalItem: Оренда: Ціна: 15517 грн, Адреса: 9670 Dodie Centers, Antonyport, MI 54252, Площа: 143 м², Кімнат: 4, Зображення: images/sunt.jpg
I, [2024-11-02T16:45:50.703987 #75228]  INFO -- : Initialized Cart instance with output directory: output
I, [2024-11-02T16:45:50.704390 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 996 881 Cheyenne Isle, North Bessieside, LA 27298
I, [2024-11-02T16:45:50.704401 #75228]  INFO -- : Added item: Оренда: Ціна: 19544 грн, Адреса: Suite 996 881 Cheyenne Isle, North Bessieside, LA 27298, Площа: 53 м², Кімнат: 3, Зображення: images/minus.jpg
I, [2024-11-02T16:45:50.704582 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 68795 Marks Ways, Champlinview, FL 33708-6070
I, [2024-11-02T16:45:50.704591 #75228]  INFO -- : Added item: Оренда: Ціна: 5746 грн, Адреса: 68795 Marks Ways, Champlinview, FL 33708-6070, Площа: 147 м², Кімнат: 5, Зображення: images/et.jpg
I, [2024-11-02T16:45:50.704825 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 909 9455 Lue Forest, Lemketown, TX 63976
I, [2024-11-02T16:45:50.704834 #75228]  INFO -- : Added item: Оренда: Ціна: 13658 грн, Адреса: Suite 909 9455 Lue Forest, Lemketown, TX 63976, Площа: 179 м², Кімнат: 2, Зображення: images/autem.jpg
I, [2024-11-02T16:45:50.705173 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 8352 Langosh Port, East Queenie, WV 38254
I, [2024-11-02T16:45:50.705183 #75228]  INFO -- : Added item: Оренда: Ціна: 15305 грн, Адреса: 8352 Langosh Port, East Queenie, WV 38254, Площа: 196 м², Кімнат: 5, Зображення: images/blanditiis.jpg
I, [2024-11-02T16:45:50.705575 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 15089 Lauretta Summit, Olgafort, SC 05445-1634
I, [2024-11-02T16:45:50.705608 #75228]  INFO -- : Added item: Оренда: Ціна: 16899 грн, Адреса: 15089 Lauretta Summit, Olgafort, SC 05445-1634, Площа: 194 м², Кімнат: 2, Зображення: images/vero.jpg
I, [2024-11-02T16:45:50.705881 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 251 243 Debroah Flat, Kiehnmouth, TX 23195-8113
I, [2024-11-02T16:45:50.705892 #75228]  INFO -- : Added item: Оренда: Ціна: 16955 грн, Адреса: Apt. 251 243 Debroah Flat, Kiehnmouth, TX 23195-8113, Площа: 80 м², Кімнат: 5, Зображення: images/et.jpg
I, [2024-11-02T16:45:50.706160 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 7061 Dacia Pike, West Gastonmouth, VA 40070
I, [2024-11-02T16:45:50.706170 #75228]  INFO -- : Added item: Оренда: Ціна: 15769 грн, Адреса: 7061 Dacia Pike, West Gastonmouth, VA 40070, Площа: 100 м², Кімнат: 4, Зображення: images/maiores.jpg
I, [2024-11-02T16:45:50.706355 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 127 Hayes Square, Rosenbaumtown, MN 60163-1605
I, [2024-11-02T16:45:50.706364 #75228]  INFO -- : Added item: Оренда: Ціна: 7535 грн, Адреса: 127 Hayes Square, Rosenbaumtown, MN 60163-1605, Площа: 173 м², Кімнат: 1, Зображення: images/aliquid.jpg
I, [2024-11-02T16:45:50.706817 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 130 629 Stacy Vista, Wizatown, GA 28695-1277
I, [2024-11-02T16:45:50.706840 #75228]  INFO -- : Added item: Оренда: Ціна: 16131 грн, Адреса: Suite 130 629 Stacy Vista, Wizatown, GA 28695-1277, Площа: 39 м², Кімнат: 5, Зображення: images/beatae.jpg
I, [2024-11-02T16:45:50.707119 #75228]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 48596 Eveline Row, East Abe, WV 90748-6210
I, [2024-11-02T16:45:50.707132 #75228]  INFO -- : Added item: Оренда: Ціна: 10885 грн, Адреса: 48596 Eveline Row, East Abe, WV 90748-6210, Площа: 172 м², Кімнат: 2, Зображення: images/aut.jpg
I, [2024-11-02T16:45:50.707141 #75228]  INFO -- : Generated 10 test items
I, [2024-11-02T16:45:50.707376 #75228]  INFO -- : Saved items to output/items.txt
I, [2024-11-02T16:45:50.707708 #75228]  INFO -- : Saved items to output/items.csv
I, [2024-11-02T16:45:50.707846 #75228]  INFO -- : Saved items to output/items.json
I, [2024-11-02T16:45:50.709149 #75228]  INFO -- : Saved items to output/items_yml as YAML files
I, [2024-11-10T21:02:26.735696 #47598]  INFO -- : Application started
I, [2024-11-10T21:02:27.275638 #47598]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 736 45766 Vance Park, North Irvin, FL 24647
I, [2024-11-10T21:02:27.275681 #47598]  INFO -- : Створено об'єкт RentalItem: Оренда: Ціна: 10796 грн, Адреса: Apt. 736 45766 Vance Park, North Irvin, FL 24647, Площа: 33 м², Кімнат: 3, Зображення: images/quia.jpg
I, [2024-11-10T21:02:27.275716 #47598]  INFO -- : Initialized Cart instance with output directory: output
I, [2024-11-10T21:02:27.276027 #47598]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 99125 Elizabet Turnpike, Lake Ralphborough, SD 15833
I, [2024-11-10T21:02:27.276047 #47598]  INFO -- : Added item: Оренда: Ціна: 15129 грн, Адреса: 99125 Elizabet Turnpike, Lake Ralphborough, SD 15833, Площа: 109 м², Кімнат: 2, Зображення: images/nihil.jpg
I, [2024-11-10T21:02:27.276264 #47598]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 5690 Doyle Grove, Hahntown, ID 20746-0127
I, [2024-11-10T21:02:27.276274 #47598]  INFO -- : Added item: Оренда: Ціна: 9322 грн, Адреса: 5690 Doyle Grove, Hahntown, ID 20746-0127, Площа: 177 м², Кімнат: 4, Зображення: images/quis.jpg
I, [2024-11-10T21:02:27.276539 #47598]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 476 Sylvia Park, Fadelfurt, VA 98272
I, [2024-11-10T21:02:27.276549 #47598]  INFO -- : Added item: Оренда: Ціна: 6420 грн, Адреса: 476 Sylvia Park, Fadelfurt, VA 98272, Площа: 74 м², Кімнат: 4, Зображення: images/quia.jpg
